snapshot,demand_mw,wind_mw,wave_mw,tidal_mw,gas_mw,mainland_import_mw,mainland_export_mw,battery_main_net_mw,battery_secondary_net_mw,balance_residual_mw,cost_energy_wind,cost_energy_wave,cost_energy_tidal,cost_energy_gas,cost_energy_mainland,cost_energy_battery_main,cost_energy_battery_secondary,hourly_dispatched_energy_cost,weighted_hourly_energy_cost,scenario_id
2019-12-15 19:00:00,29.0679139,23.049987921,4.998834219854244,0.1475704199999995,-0.0,-0.0,0.0,0.8615213391457539,0.01,-3.552713678800501e-15,691.4996376299998,149.46514317364188,4.425636895799985,-0.0,-0.0,4.3076066957287695,0.0,849.6980243951705,849.6980243951705,R04
2019-12-15 20:00:00,27.291975300000008,26.20171243095635,4.99961103309377,0.6767975999999996,-0.0,-0.0,0.0,-4.576145764050112,-0.01,0.0,786.0513729286906,149.48836988950373,20.297160023999986,-0.0,-0.0,-0.0,-0.0,955.8369028421943,955.8369028421943,R04
2019-12-15 21:00:00,25.12134155,22.556074086999985,4.998695881086428,4.824102,-0.0,-0.0,0.0,-7.247530418086425,-0.01,-1.0658141036401503e-14,676.6822226099998,149.4610068444842,144.67481898,-0.0,-0.0,-0.0,-0.0,970.8180484344841,970.8180484344841,R04
2019-12-15 22:00:00,22.33383075,23.065895818999994,4.952236339542426,7.2,-0.0,-0.0,0.0,-12.88430140854242,0.0,3.552713678800501e-15,691.97687457,148.07186655231854,215.928,-0.0,-0.0,-0.0,-0.0,1055.9767411223183,1055.9767411223183,R04
2019-12-15 23:00:00,19.72072895000001,21.144674057,4.81336629297502,6.21486,-0.0,-0.0,0.0,-12.446013821289963,-0.006157578685051217,-7.105427357601002e-15,634.3402217099997,143.91965215995307,186.3836514,-0.0,-0.0,-0.0,-0.0,964.6435252699528,964.6435252699528,R04
2019-12-16 00:00:00,19.251720399999996,20.481030427000007,4.669406771812252,2.8107539999999993,-0.0,-0.0,0.0,-8.699470798812253,-0.01,7.105427357601002e-15,614.4309128100002,139.61526247718632,84.29451245999998,-0.0,-0.0,-0.0,-0.0,838.3406877471865,838.3406877471865,R04
2019-12-16 01:00:00,18.946883800000002,20.210770166999993,4.544458291036214,0.30786016199999977,-0.0,-0.0,0.0,-6.116204820036206,0.0,0.0,606.3231050099998,135.8793029019828,9.232726258379993,-0.0,-0.0,-0.0,-0.0,751.4351341703626,751.4351341703626,R04
2019-12-16 02:00:00,18.425931699999992,16.531940090999992,4.39661904918059,0.4100070299999998,-0.0,-0.0,0.0,-2.9126344701805915,0.0,-3.552713678800501e-15,495.9582027300001,131.45890957049963,12.296110829699993,-0.0,-0.0,-0.0,-0.0,639.7132231301997,639.7132231301997,R04
2019-12-16 03:00:00,18.065360050000002,13.498722617000007,4.195778427213982,4.127478,-0.0,-0.0,0.0,-3.746618994213977,-0.01,1.0658141036401503e-14,404.96167851000007,125.45377497369806,123.78306522,-0.0,-0.0,-0.0,-0.0,654.1985187036981,654.1985187036981,R04
2019-12-16 04:00:00,17.863273100000004,8.579003640000002,3.9663682266962654,7.2,-0.0,-0.0,0.0,-1.872098766696492,-0.01,-2.2737367544323206e-13,257.37010920000006,118.59440997821834,215.928,-0.0,-0.0,-0.0,-0.0,591.8925191782184,591.8925191782184,R04
2019-12-16 05:00:00,19.25285785,3.7623595940000003,3.8050929809849765,7.066199999999999,4.619205275015023,-0.0,0.0,0.0,0.0,-3.552713678800501e-15,112.87078782000003,113.7722801314508,211.91533799999996,692.8807912522535,-0.0,-0.0,-0.0,1131.4391972037042,1131.4391972037042,R04
2019-12-16 06:00:00,23.66085575,3.67564312,3.7300481833968853,3.693468,10.0,2.5616964466031105,-0.0,0.0,0.0,-3.552713678800501e-15,110.26929359999998,111.52844068356687,110.76710532,1500.0,512.3392893206221,-0.0,-0.0,2344.9041289241886,2344.9041289241886,R04
2019-12-16 07:00:00,28.3869605,5.118455384999998,3.488067540044593,0.5874318000000001,10.0,9.193005774955402,-0.0,0.0,0.0,-7.105427357601002e-15,153.55366155000007,104.29321944733333,17.617079682,1500.0,1838.6011549910804,-0.0,-0.0,3614.065115670414,3614.065115670414,R04
2019-12-16 08:00:00,30.496551099999994,4.916405690000003,3.1632149407165104,0.12465767999999952,10.0,12.292272789283484,-0.0,0.0,0.0,3.552713678800501e-15,147.49217069999995,94.58012672742366,3.7384838231999855,1500.0,2458.4545578566967,-0.0,-0.0,4204.26533910732,4204.26533910732,R04
2019-12-16 09:00:00,31.36177139999999,4.485234031999999,2.875238336745195,2.46228,10.0,-0.0,0.0,11.531109940345711,0.007909090909090906,3.552713678800501e-15,134.55702096,85.96962626868132,73.84377719999999,1500.0,-0.0,57.65554970172856,0.0,1852.02597413041,1852.02597413041,R04
2019-12-16 10:00:00,31.03153174999999,4.4000865760000005,2.6135959508220576,6.534960000000001,10.0,-0.0,0.0,7.482889223177931,0.0,0.0,132.00259728000003,78.14651892957951,195.9834504,1500.0,-0.0,37.41444611588966,-0.0,1943.5470127254691,1943.5470127254691,R04
